active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
43,9,threshold_hysteresis,31,6431024146873879286,24,2,0.404271965,2,0.495678477,0.926084431,0.991375841,0.94320934,-1,0,0,101,0,-12.718097472,0.65501774,evaluation,0.0,46,20,6,baseline,4.0,threshold_hysteresis,1.11458492,0
41,11,reserve,33,6431024146873879286,24,2,0.515497425,2,0.537198326,0.924574007,0.851545928,0.92197387,-1,0,0,101,0,-9.890589723,0.659545225,evaluation,0.0,44,22,6,baseline,4.0,reserve,1.11458492,0
16,1,threshold,15,6472699432817527249,25,2,0.423667741,1,0.552569402,0.799509666,0.745379085,0.990596187,-1,0,0,101,0,-12.389076039,0.644641536,evaluation,0.0,16,26,30,baseline,4.0,threshold,1.08981667,0
23,4,threshold_hysteresis,23,6472699432817527249,25,1,0.441888681,1,0.557469382,0.848052485,0.722630197,0.974916307,-1,0,0,101,0,-12.389076039,0.644641536,evaluation,0.0,23,24,25,baseline,4.0,threshold_hysteresis,1.08981667,0
24,1,reserve,23,6472699432817527249,25,2,0.536405656,0,0.627665063,0.825676285,0.628895612,0.992407682,-1,0,0,101,0,-3.725824029,0.663880122,evaluation,0.0,27,36,9,baseline,4.0,reserve,1.08981667,0
41,7,threshold,31,17210240148548169006,26,2,0.307016451,2,0.119106007,0.723497523,1.203051822,0.814202714,69,1,0,101,0,-13.0,0.546841727,evaluation,0.0,44,24,4,baseline,4.0,threshold,1.090580229,0
41,7,threshold_hysteresis,31,17210240148548169006,26,2,0.307016451,2,0.119106007,0.723497523,1.203051822,0.814202714,69,1,0,101,0,-13.0,0.546841727,evaluation,0.0,44,24,4,baseline,4.0,threshold_hysteresis,1.090580229,0
46,11,reserve,32,17210240148548169006,26,2,0.385495663,2,0.111127122,0.700758671,1.085644466,0.785378965,-1,0,0,101,0,-11.372354176,0.612306225,evaluation,0.0,49,18,5,baseline,4.0,reserve,1.090580229,0
41,7,threshold,31,10500758203033181512,27,2,0.286271613,2,0.226477577,0.82625746,1.216125023,0.856441158,69,1,0,101,0,-12.0,0.58961165,evaluation,0.0,44,22,6,baseline,4.0,threshold,1.118387542,0
43,8,threshold_hysteresis,32,10500758203033181512,27,2,0.294632841,2,0.211718438,0.826421249,1.214597063,0.846158276,69,1,0,101,0,-12.0,0.593071819,evaluation,0.0,46,21,5,baseline,4.0,threshold_hysteresis,1.118387542,0
