arm,episode,environment_seed,true_boundary,irreversible_entry,first_irreversible_step,final_pressure,final_biosphere,final_institution,final_trust,final_justice,min_hidden_cr,min_estimated_cr,cumulative_performative_gap,capture_absorption,justice_stability,defective_action_rate,false_positive_rate,false_negative_rate,emergency_trigger_rate,mean_response_delay,mean_estimation_error,final_mode
robust_reserve,14,8813944467716409934,0.9530248499,1,52,1.2139213750,0.5367632096,0.0000000000,0.0791862690,0.4098932830,-12.3670741672,-12.3670741672,15.8398666061,0.7000761072,0.3618458565,0.3475375398,0.7083333333,0.0000000000,0.3611111111,4.4285714286,25.7706187302,3
full_rvcim,14,8813944467716409934,0.9530248499,0,72,0.6365673250,0.6692756414,0.0000000000,0.0000000000,0.5977613069,22.9773536624,-0.1683389885,12.5414853766,0.7760325906,0.5106937966,0.3034192830,1.0000000000,0.0000000000,0.0277777778,3.8000000000,44.8818163718,1
weak_coupling,15,4302338730653840474,1.0683577892,1,27,2.7970174786,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-15.9756261298,-14.2639519016,26.2909980268,0.2139761965,0.2633172100,0.7119217997,0.0000000000,0.7500000000,0.0000000000,0.0000000000,10.8024511080,0
nominal_trigger,15,4302338730653840474,1.0683577892,1,29,2.5309553358,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.6794476999,-14.8923640178,24.4933301123,0.3902876637,0.1540238245,0.6400612290,0.0277777778,0.0000000000,0.6527777778,6.5000000000,10.5831188377,2
robust_reserve,15,4302338730653840474,1.0683577892,1,58,1.2223347704,0.4609127908,0.0000000000,0.0405929441,0.3945995385,-11.3342541127,-11.4872632161,15.5727784188,0.7003203089,0.3701556072,0.4076120644,0.8055555556,0.0000000000,0.4027777778,4.3888888889,29.2481912110,3
full_rvcim,15,4302338730653840474,1.0683577892,0,72,0.7738457288,0.5652399900,0.0000000000,0.0000000000,0.6028530437,18.7464530077,-10.3279220298,12.7221386974,0.7767353306,0.5073861348,0.3600293577,1.0000000000,0.0000000000,0.1527777778,3.4000000000,52.3234621362,2
weak_coupling,16,924353158282346740,0.8737373253,1,34,2.4760671180,0.0000000000,0.0000000000,0.0000000000,0.2267631089,-15.1555521526,-13.5317429934,23.4323070466,0.2209550499,0.3881943814,0.6728018083,0.0000000000,0.7916666667,0.0000000000,0.0000000000,14.4525859791,0
nominal_trigger,16,924353158282346740,0.8737373253,1,35,2.1824018066,0.0753211017,0.0000000000,0.0000000000,0.1238687027,-14.9830892064,-13.3777582200,21.1912136456,0.3875213807,0.3651957591,0.5559586114,0.0000000000,0.0833333333,0.5555555556,6.3333333333,15.1453725348,2
robust_reserve,16,924353158282346740,0.8737373253,0,72,0.5708979708,0.6700537920,0.0000000000,0.0000000000,0.5909436070,24.6002409562,-1.9351805194,13.5893277207,0.7050834217,0.4957369393,0.3189336842,1.0000000000,0.0000000000,0.0138888889,4.0000000000,40.9414346554,1
full_rvcim,16,924353158282346740,0.8737373253,0,72,0.2723365461,0.7964989737,0.0302217489,0.0000000000,0.8102927918,39.3420025450,9.1034364833,10.9594270812,0.7808999787,0.6329232593,0.2474141769,1.0000000000,0.0000000000,0.0000000000,3.0000000000,43.7672123219,1
weak_coupling,17,8207440806829968870,1.0510635695,1,27,2.9039928110,0.0000000000,0.0000000000,0.0000000000,0.1154335964,-15.6367952933,-13.9614243690,26.6217451879,0.2147602821,0.3179961105,0.7277972816,0.0000000000,0.7222222222,0.0000000000,0.0000000000,10.2691162924,0
nominal_trigger,17,8207440806829968870,1.0510635695,1,32,2.6140110261,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.2087967921,-14.4721399930,25.3379207614,0.3900384856,0.2187849247,0.6730639395,0.0277777778,0.0000000000,0.6388888889,7.0000000000,9.6731304808,2
robust_reserve,17,8207440806829968870,1.0510635695,1,52,1.4595633785,0.4375506891,0.0000000000,0.0880433060,0.5594247288,-11.6355474569,-11.6355474569,16.1552658290,0.7030295892,0.4546513545,0.4299760627,0.7222222222,0.0000000000,0.4166666667,4.0588235294,23.7500281828,3
full_rvcim,17,8207440806829968870,1.0510635695,1,68,0.9289145531,0.5689829860,0.0000000000,0.0449249889,0.7333592278,-3.7693957929,-9.8732144010,13.2111230450,0.7783086859,0.5828731684,0.3868217097,0.9027777778,0.0000000000,0.1944444444,3.5000000000,43.4458445560,2
weak_coupling,18,11863023453764764809,1.0026124498,1,30,2.7716345364,0.0000000000,0.0000000000,0.0000000000,0.1037087770,-15.4165762489,-13.7648002222,25.1853458444,0.2169304094,0.3283432906,0.7465698568,0.0000000000,0.7777777778,0.0000000000,0.0000000000,7.6788212400,0
nominal_trigger,18,11863023453764764809,1.0026124498,1,36,2.4166420766,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-15.9681742669,-14.2572984526,23.0779197483,0.3971545115,0.2479262431,0.6589369131,0.0000000000,0.0277777778,0.6250000000,6.0000000000,7.9587933962,2
robust_reserve,18,11863023453764764809,1.0026124498,1,54,1.3413009683,0.4424290970,0.0000000000,0.0508350439,0.5581188111,-11.4796176675,-11.4796176675,15.3446394738,0.7041783238,0.4731587331,0.4398006683,0.7500000000,0.0000000000,0.3888888889,4.2222222222,25.4754173863,3
full_rvcim,18,11863023453764764809,1.0026124498,0,72,0.7190563603,0.5970170563,0.0000000000,0.0000000000,0.7548622857,12.1662831262,-8.2259608482,12.4254751183,0.7795475941,0.6049242817,0.3644231725,1.0000000000,0.0000000000,0.1111111111,3.5384615385,49.9773112545,1
weak_coupling,19,75358118167356863,1.0583932955,1,37,2.5737904707,0.0000000000,0.0000000000,0.0000000000,0.2312406861,-15.1773293481,-13.5511869179,27.2152766567,0.2206721969,0.3984778259,0.7145982536,0.0000000000,0.7361111111,0.0000000000,0.0000000000,8.2540915622,0
nominal_trigger,19,75358118167356863,1.0583932955,1,39,2.2658569213,0.0333743019,0.0000000000,0.0000000000,0.0000000000,-15.7531737904,-14.0653337414,24.3824511893,0.4035330379,0.2746108356,0.6112576524,0.0972222222,0.0000000000,0.6388888889,5.5000000000,8.5321710201,2
robust_reserve,19,75358118167356863,1.0583932955,0,72,0.7455860190,0.5955464319,0.0000000000,0.0000000000,0.6072345236,17.9873329237,-8.6457175358,14.6562036408,0.7057071231,0.5037222636,0.3390801368,1.0000000000,0.0000000000,0.1250000000,4.0000000000,49.2573041758,1
full_rvcim,19,75358118167356863,1.0583932955,0,72,0.4532761776,0.7178676902,0.0260696853,0.0000000000,0.8326434038,39.5094766339,2.7420212839,11.5024553792,0.7812452351,0.6438276157,0.2648738266,1.0000000000,0.0000000000,0.0000000000,3.0000000000,81.2178612296,1
weak_coupling,20,5057787946756576148,0.9495825705,1,21,3.2362704244,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.2714493716,-14.5280797961,30.2122373217,0.2110486393,0.1975117286,0.8309922608,0.0000000000,0.8472222222,0.0000000000,0.0000000000,3.1367465367,0
nominal_trigger,20,5057787946756576148,0.9495825705,1,25,2.9759357241,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-17.5202783128,-15.6431056365,28.3104726587,0.3922743945,0.0953913808,0.7637923200,0.0000000000,0.0555555556,0.7083333333,7.5000000000,3.1792943187,2
