arm,episode,t,true_boundary,pressure,observed_pressure,biosphere,institution,trust,justice,policy,support,audit,mode,mode_name,estimated_cr,hidden_cr,attempted_capture,effective_capture,cooperation_rate,defective_rate,performative_gap,backlash,irreversible
weak_coupling,0,49,0.9429685093,2.1027206709,2.0762522485,0.1936603177,0.0000000000,0.0000000000,0.0000000000,0.0304184466,0.0700000000,0.1543133659,0,adaptive_normal,-15.1303549859,-16.9459975842,0.9938259703,0.7873446312,0.0314594801,0.9685405199,0.5467269686,0.0839919034,1
weak_coupling,0,50,0.9429685093,2.1466224554,2.0615098274,0.1742828569,0.0000000000,0.0000000000,0.0000000000,0.0303262746,0.0700000000,0.1545589794,0,adaptive_normal,-14.3505733837,-16.0726421897,0.7350222004,0.5821648184,0.2742578107,0.7257421893,0.4367893619,0.0839472153,1
weak_coupling,0,51,0.9429685093,2.1854570085,2.1349055210,0.1538961271,0.0000000000,0.0000000000,0.0000000000,0.0303224472,0.0700000000,0.1548172836,0,adaptive_normal,-14.3314437092,-16.0512169543,0.7288628968,0.5771317679,0.3127907791,0.6872092209,0.4186520337,0.0839453596,1
weak_coupling,0,52,0.9429685093,2.2348542432,2.1635779915,0.1329198577,0.0000000000,0.0000000000,0.0000000000,0.0303209160,0.0700000000,0.1550638697,0,adaptive_normal,-13.8619224301,-15.5253531217,0.5729676147,0.4535739663,0.3523098667,0.6476901333,0.3813947024,0.0839446173,1
weak_coupling,0,53,0.9429685093,2.2678858411,2.2530209553,0.1105760276,0.0000000000,0.0000000000,0.0000000000,0.0303687193,0.0700000000,0.1553114507,0,adaptive_normal,-13.8820957867,-15.5479472811,0.5798069525,0.4588693263,0.3213910946,0.6786089054,0.3918202818,0.0839677939,1
weak_coupling,0,54,0.9429685093,2.3203735556,2.3145625019,0.0905187245,0.0000000000,0.0000000000,0.0000000000,0.0304106528,0.0700000000,0.1555460943,0,adaptive_normal,-13.0099009965,-14.5710891161,0.2898455781,0.2293326111,0.6312852304,0.3687147696,0.2660328817,0.0839881247,1
weak_coupling,0,55,0.9429685093,2.3691767116,2.3318409442,0.0663348471,0.0000000000,0.0000000000,0.0000000000,0.0305403028,0.0700000000,0.1557903273,0,adaptive_normal,-15.1040966284,-16.9165882238,0.9865763920,0.7804003328,0.0885766743,0.9114233257,0.5161458001,0.0840509835,1
weak_coupling,0,56,0.9429685093,2.4052734180,2.3452271838,0.0437533959,0.0000000000,0.0000000000,0.0000000000,0.0304420929,0.0700000000,0.1559727561,0,adaptive_normal,-13.8352657078,-15.4954975927,0.5645980448,0.4465250259,0.4227695261,0.5772304739,0.3508897802,0.0840033679,1
weak_coupling,0,57,0.9429685093,2.4571880291,2.3901940741,0.0214533534,0.0000000000,0.0000000000,0.0000000000,0.0304831415,0.0700000000,0.1561753396,0,adaptive_normal,-15.1242549581,-16.9391655530,0.9936970395,0.7857212012,0.0382695408,0.9617304592,0.5369657368,0.0840232697,1
weak_coupling,0,58,0.9429685093,2.5088832403,2.4353900513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303869531,0.0700000000,0.1563406601,0,adaptive_normal,-15.1164746625,-16.9304516220,0.9913074800,0.7837007545,0.0565139038,0.9434860962,0.5364893505,0.0839766343,1
weak_coupling,0,59,0.9429685093,2.5588676115,2.5710252279,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0302984951,0.0700000000,0.1564989909,0,adaptive_normal,-15.1276662218,-16.9429861684,0.9952236538,0.7866707312,0.0373727555,0.9626272445,0.5407004721,0.0839337468,1
